ID,q11a_1_i,public,responseid,q0_i,finished,device_phone,TIMING,startdate,enddate,duration_min,durationinseconds,recordeddate,studentprofiletime,studentprofile_min,essaytime,essaytime_min,qduration_essay_min,otheroutcomestime,otheroutcomestime_min,FACTORS,vignette,vignette_n,student_name,father_mail,essay,sex_female,ses_high,spanish,essay_good,essay_cc_high,allpassed,behaviour_good,OUTCOMES,grade_essay,grade_essay_good,grade_essay_bad,repit,expect,psupport,RESPONDENT_VARIABLES,q9_i,q10_1,age,q11b_1_i,q12_i,q13_i,q14_i,q15_i,RESPONDENT_ATTITUDES,q16_1,q16_2,q16_3,q16_4,MANIPULATION_CHECKS,q4_i,q5_i,q6_i,q7_i,q8_i,q8b_i,MANIPULATION_RIGHT_WRONG,sex_signal,migrant_signal,SES_signal,failed_signal,behaviour_signal,cc_signal,signals
,7,0,"R_2EhsrabNbTn5M2u",1,"TRUE",0,,"16/5/23 12:31","16/5/23 13:47",75.35,4521,"16/5/23 13:47",59.326,.9887667,461.198,7.686633,3,40.659,.67765,,1,17,1,1,7,0,1,1,1,1,1,1,,9.1,9.1,,.1,9.4,8,,2,2001,1,4,1,2,1,1,,2,1,3,4,,2,1,4,4,2,3,,1,1,1,1,1,1,1
,8,0,"R_wZPjzkAUvn5aolH",1,"TRUE",0,,"11/5/23 02:52","11/5/23 03:00",8.15,489,"11/5/23 03:01",199.301,3.321683,74.265,1.23775,1,23.644,.3940667,,1,17,1,1,7,0,1,1,1,1,1,1,,7,7,,0,9,10,,1,1998,1,3,2,2,1,1,,1,4,2,3,,2,1,4,4,2,3,,1,1,1,1,1,1,1
,8,0,"R_3Op7cyBg83qbLpT",1,"TRUE",0,,"12/5/23 02:02","12/5/23 02:12",10.41667,625,"12/5/23 02:12",84.866,1.414433,125.374,2.089567,2,74.957,1.249283,,1,17,1,1,7,0,1,1,1,1,1,1,,10,10,,.5,10,9,,2,2000,1,5,1,2,1,1,,3,1,2,4,,2,1,4,4,2,3,,1,1,1,1,1,1,1
,6,1,"R_6sykmXSgPddz6U1",1,"TRUE",1,,"19/4/23 08:33","19/4/23 08:38",5.716667,343,"19/4/23 08:38",41.733,.69555,88.872,1.4812,1,49.417,.8236167,,1,17,1,1,7,0,1,1,1,1,1,1,,10,10,,0,7,10,,2,2000,1,5,1,2,1,2,,3,2,1,4,,2,1,4,4,2,3,,1,1,1,1,1,1,1
,17,0,"R_1E5RfoUyHzA0LZ1",1,"TRUE",0,,"23/5/23 08:43","23/5/23 08:54",10.68333,641,"23/5/23 08:54",157.975,2.632917,185.954,3.099233,3,57.237,.95395,,1,17,1,1,7,0,1,1,1,1,1,1,,10,10,,0,8.1,7,,2,2002,1,3,1,2,1,1,,2,3,1,4,,2,1,4,4,2,3,,1,1,1,1,1,1,1
,12,0,"R_CfSGDo2Xf0LHp5f",1,"TRUE",1,,"3/5/23 06:06","3/5/23 06:10",4.166667,250,"3/5/23 06:10",13.27,.2211667,41.784,.6964,1,60.673,1.011217,,1,17,1,1,7,0,1,1,1,1,1,1,,8.5,8.5,,0,8.5,9,,2,2000,1,2,2,2,1,1,,2,3,1,4,,2,1,4,4,2,3,,1,1,1,1,1,1,1
,6,1,"R_1pWJsX4zK7XoWrV",1,"TRUE",0,,"19/4/23 08:21","19/4/23 08:29",8.35,501,"19/4/23 08:29",20.915,.3485833,147.846,2.4641,2,47.16,.786,,1,17,1,1,7,0,1,1,1,1,1,1,,10,10,,.1,10,9,,2,1996,2,2,1,1,1,1,,3,1,2,4,,2,1,4,4,2,3,,1,1,1,1,1,1,1
,6,1,"R_21nv1pFKWVh2PoP",1,"TRUE",0,,"19/4/23 11:15","19/4/23 11:26",10.25,615,"19/4/23 11:26",63.262,1.054367,152.57,2.542834,2,83.574,1.3929,,1,17,1,1,7,0,1,1,1,1,1,1,,1,1,,1,9,8,,1,1983,2,3,1,2,1,1,,3,2,1,4,,2,1,4,4,2,3,,1,1,1,1,1,1,1
,15,0,"R_1kMRMugXt6LAjkm",1,"TRUE",0,,"19/5/23 05:59","19/5/23 06:04",4.783333,287,"19/5/23 06:04",32.248,.5374667,45.553,.7592167,1,23.926,.3987667,,1,17,1,1,7,0,1,1,1,1,1,1,,9.2,9.2,,0,10,10,,1,2004,1,1,1,1,1,1,,3,2,1,4,,2,1,4,4,2,3,,1,1,1,1,1,1,1
,6,1,"R_30tQYmWoOIcJWmD",1,"TRUE",1,,"19/4/23 07:19","19/4/23 07:29",10.36667,622,"19/4/23 07:29",58.101,.9683501,155.175,2.58625,3,104.596,1.743267,,1,17,1,1,7,0,1,1,1,1,1,1,,10,10,,.1,10,10,,2,1983,2,4,1,1,1,1,,2,3,1,4,,2,1,4,4,2,3,,1,1,1,1,1,1,1
