		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	Essay Grade	Essay Grade	Grade Retention Exp.	Grade Retention Exp.	Academic Track Exp.	Academic Track Exp.
							
sex_female	Factor: Gender (1=Girl)	0.121*	0.144*	-0.127	-0.194	0.239***	0.366***
		(0.0646)	(0.0689)	(0.117)	(0.149)	(0.0740)	(0.123)
spanish	Factor: Ethnic Origin (1=Native)	-0.196***	-0.209**	0.130	0.0591	0.187**	0.109
		(0.0583)	(0.0868)	(0.108)	(0.167)	(0.0731)	(0.107)
ses_high	Factor: Father's SES (1=High)	0.0337	0.0919	-0.0274	0.00618	0.199**	0.214**
		(0.0642)	(0.0690)	(0.115)	(0.176)	(0.0789)	(0.0979)
essay_cc_high	Factor: Essay Cultural Capital Signal (1=High)	0.203***	0.299***	-0.0851	-0.000210	0.0893	0.183
		(0.0471)	(0.0719)	(0.121)	(0.122)	(0.0746)	(0.116)
essay_good	Factor: Essay Quality (1=High)	2.833***	2.999***	-2.170***	-2.374***	1.314***	1.487***
		(0.108)	(0.0951)	(0.136)	(0.127)	(0.0962)	(0.119)
allpassed	Factor: Number of Subjects Passed/Failed (1=All Passed)	0.283***	0.267**	-1.730***	-1.984***	0.464***	0.518***
		(0.0737)	(0.125)	(0.0926)	(0.175)	(0.120)	(0.167)
behaviour_good	Factor: Behaviour and Effort (1=Good)	0.268***	0.232**	-1.028***	-1.048***	1.209***	1.221***
		(0.0777)	(0.0928)	(0.0976)	(0.151)	(0.0970)	(0.210)
q10_1	Birth year-Respondent	0.00957	0.0148**	0.00272	0.00141	0.0127	0.0131
		(0.00623)	(0.00526)	(0.00864)	(0.0167)	(0.00794)	(0.0105)
q9_i	Gender-Respondent	0.0131	0.0686	0.156	0.148	-0.0560	-0.109
		(0.0542)	(0.110)	(0.119)	(0.179)	(0.0931)	(0.0986)
3.q11a_1_i	University/Faculty Anonymized ID = 3	0.689***	0.615***	-1.287***	-0.993***	-0.228***	0.0407
		(0.0453)	(0.0790)	(0.0495)	(0.133)	(0.0761)	(0.127)
